RES_ID,LOC,GENDER,AGE,WEIGHT,FREQUENCY,PRICE,WAIT_TIME,FOOD_PREFERENCE,MOOD,DISH CHOSEN,CUISINE,INGREDIENTS,DISH TYPE,ALLERGENS
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,veg momos,Chinese,"Flour, Salt, Oil, Water, Carrot, Cabbage, Garlic, Soya sauce, Vinegar, Black pepper",Vegetarian,Soy
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,fried rice,Chinese,"oil, ginger-garlic paste, spring onion, carrot, cabbage, capsicum, salt, soy sauce, vinegar, rice",Vegetarian,Soy
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,hakka noodles,Chinese,"Noodles, Salt, Oil, Garlic paste, Ginger paste, Beans, Cabbage, Carrot, Spring onion, Capsicum, Soy sauce, Green chilli sauce, Tomato sauce",Vegetarian,Soy
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,chilli paneer,Chinese,"Cottage Cheese, Salt, Egg, Corn flour, Ginger-garlic paste, Water , Oil , Onions , Green chillies , Soya sauce, Vinegar, Capsicum, spring onion",Vegetarian,Eggs
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,sesame honey chilli potatoes,Chinese,"potatoes (sliced), cornflour or maida, salt, red chilli powder, Oil (for deep frying), oil, spring onions (with stalk), garlic paste, capsicum, honey, salt, soya sauce, white sesame seeds, chilli sauce",Vegetarian,Sesame
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,garlic chicken,Chinese,"Chicken Thigh/Breast (cut crosswise into 1/2-inch-thin strips), Sesame Oil (toasted), White Pepper (finely ground), Ginger Juice, Peanut Oil or Vegetable oil (divided), Garlic cloves (minced), Ginger, Red Chilli Flakes, Red Onion , Snow Peas (trimmed), Red Bell Pepper (cut into thin strips), Rice Vinegar, Soy Sauce, Dark Soy Sauce, Chinese Rice Wine, Brown Sugar, Cornflour",Non-Vegetarian,Sesame
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,chicken lollipop,Chinese,"Chicken wings (cut off the bone and collect all the flesh at one end), Egg (slightly beaten), cornstarch/cornflour, garlic Paste, ginger Paste, salt, Oil (for deep-frying)",Non-Vegetarian,Eggs
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,butter chicken,North Indian,"dish, originating in the Indian subcontinent, of chicken in a mildly spiced tomato sauce. It is also known as murgh mahal",Non-Vegetarian,
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,chicken tikka masala,North Indian,Chicken marinated in a Yogurt tomato sauce. It is known to have a creamy texture.,Non-Vegetarian,
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,kadai paneer,North Indian,Paneer and green peppers in tomato gravy,Vegetarian,
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,mixed vegetable,North Indian,"mixed vegetables, slow cooked with a tomato sauce added.",Vegetarian,
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,garlic naan,North Indian,Tandoor-baked soft flatbread made with refined wheat flour and garlic,Vegetarian,Wheat
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,paneer butter masala,North Indian,Paneer made with Indian Cheese. Paneer is substituted for meat in Vegetarian dishes,Vegetarian,
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,paneer tikka masala,North Indian,vegetarian alternative to chicken tikka masala,Vegetarian,
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,shahi paneer,North Indian,"A popular Indian, as well as Punjabi and Nepalese dish, made with paneer in a thick cream and tomato gravy and spices",Vegetarian,
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,tandoori chicken,North Indian,Tandoori chicken as a dish originated in the Punjab before the independence of India and Pakistan.,Non-Vegetarian,
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Happy,tandoori fish tikka,North Indian,Fish marinated in lime and ginger and cooked over an open fire.,Non-Vegetarian,Fish
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,chilli chicken,Chinese,"boneless Chicken (diced), Egg (slightly beaten), cornflour, garlic Paste, ginger Paste, salt , oil (to deep fry), onions, green Chillies, soy sauce (adjust according to strength), vinegar, green Chillies",Non-Vegetarian,Eggs
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,chicken manchurian,Chinese,"chicken mince, Eggs (slightly beaten), refined flour, garlic paste, ginger paste, Oil (for deep frying), oil, garlic, onions, capsicum, corn flour (blended), water, vinegar, salt, soya sauce, tomato puree, celery, water",Non-Vegetarian,Eggs
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,veg manchurian,Chinese,"Mixed Vegetables - chopped fine or grated, Eggs (slightly beaten), Refined Flour, Garlic Paste, Ginger Paste, Water, Oil , Garlic , Onions , Capsicum, Cornflour (blended with water), Vinegar, Salt, Soya Sauce, Tomato Puree, Celery, Ajinomoto (optional), Water",Vegetarian,Eggs
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,vegetable chowmein,Chinese,"fresh noodles, water, salt, ginger garlic paste, chilli powder, onion, soy sauce, salt, celery, vinegar, chilli sauce, green and red capsicum, mushroom, carrot, green chillies, tomato sauce, spring onion, garlic, black pepper powder",Vegetarian,Soy
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,manchow soup,Chinese,"Water, Ginger, Garlic, Green chilies , Coriander leaves - finely chopped, French beans, Carrots, Cabbage , Capsicum , Mushrooms , Spring onions, Pepper, Soya sauce, Cornflour - mixed with, Water, Spring onion, oil & salt",Both,Soy
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,spring rolls,Chinese,"flour, egg, salt, water, milk, oil , cabbage, spring onions, shredded carrot, garlic, soya sauce, celery",Both,Eggs
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,schezuan chicken,Chinese,"boneless skinless chicken, cornstarch, ground pepper, oil, ginger, garlic, vinegar , sesame oil, Sesame seeds, white rice",Non-Vegetarian,Sesame
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,fried rice,Chinese,"oil, ginger-garlic paste, spring onion, carrot, cabbage, capsicum, salt, soy sauce, vinegar, rice",Vegetarian,Soy
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,hakka noodles,Chinese,"Noodles, Salt, Oil, Garlic paste, Ginger paste, Beans, Cabbage, Carrot, Spring onion, Capsicum, Soy sauce, Green chilli sauce, Tomato sauce",Vegetarian,Soy
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,chilli paneer,Chinese,"Cottage Cheese, Salt, Egg, Corn flour, Ginger-garlic paste, Water , Oil , Onions , Green chillies , Soya sauce, Vinegar, Capsicum, spring onion",Vegetarian,Eggs
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,sesame honey chilli potatoes,Chinese,"potatoes (sliced), cornflour or maida, salt, red chilli powder, Oil (for deep frying), oil, spring onions (with stalk), garlic paste, capsicum, honey, salt, soya sauce, white sesame seeds, chilli sauce",Vegetarian,Sesame
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,garlic chicken,Chinese,"Chicken Thigh/Breast (cut crosswise into 1/2-inch-thin strips), Sesame Oil (toasted), White Pepper (finely ground), Ginger Juice, Peanut Oil or Vegetable oil (divided), Garlic cloves (minced), Ginger, Red Chilli Flakes, Red Onion , Snow Peas (trimmed), Red Bell Pepper (cut into thin strips), Rice Vinegar, Soy Sauce, Dark Soy Sauce, Chinese Rice Wine, Brown Sugar, Cornflour",Non-Vegetarian,Sesame
8TD6Q7jl,Hyderabad,Female,26-35,61-75,Alternate Week,500-750,30-40 min,Non-Vegetarian,Hungry,chicken lollipop,Chinese,"Chicken wings (cut off the bone and collect all the flesh at one end), Egg (slightly beaten), cornstarch/cornflour, garlic Paste, ginger Paste, salt, Oil (for deep-frying)",Non-Vegetarian,Eggs
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,masala dosa,South Indian,"Potato, Parbolied rice, Urad dal",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,idly,South Indian,"Rice, Urad dal",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,upma,South Indian,Semolina,Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,poori,South Indian,"Salt, Wheat Flour, Atta flour, Vegetable Oil",Vegetarian,Wheat
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,veg biryani,South Indian,"Rice, vegitables,onions, ginger, garlic, green chilies, cilantro, mint and curry leaves.",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,veg manchurian,Chinese,"Mixed Vegetables - chopped fine or grated, Eggs (slightly beaten), Refined Flour, Garlic Paste, Ginger Paste, Water, Oil , Garlic , Onions , Capsicum, Cornflour (blended with water), Vinegar, Salt, Soya Sauce, Tomato Puree, Celery, Ajinomoto (optional), Water",Vegetarian,Eggs
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,chilli paneer,Chinese,"Cottage Cheese, Salt, Egg, Corn flour, Ginger-garlic paste, Water , Oil , Onions , Green chillies , Soya sauce, Vinegar, Capsicum, spring onion",Vegetarian,Eggs
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,chapati,North Indian,"unleavened flatbread originating from the Indian subcontinent and staple in India, Nepal, Bangladesh, Pakistan, Sri Lanka, East Africa and the Caribbean.",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,kadai paneer,North Indian,Paneer and green peppers in tomato gravy,Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,palak paneer,North Indian,Paneer cubes in spinach gravy,Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,paneer butter masala,North Indian,Paneer made with Indian Cheese. Paneer is substituted for meat in Vegetarian dishes,Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,paneer tikka masala,North Indian,vegetarian alternative to chicken tikka masala,Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Happy,shahi paneer,North Indian,"A popular Indian, as well as Punjabi and Nepalese dish, made with paneer in a thick cream and tomato gravy and spices",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,masala dosa,South Indian,"Potato, Parbolied rice, Urad dal",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,bisi bele bath,South Indian,"Vegetable, Asafoetida, Curry tree, Pigeon pea, Tamarind, Masala, Nutmeg",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,vada,South Indian,"Chili pepper, Curry tree, Onions, Lentils",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,curd rice,South Indian,"Yoghurt, Urad dal, Rice",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,idly,South Indian,"Rice, Urad dal",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,pulihora,South Indian,"Rice, Mustard seed, Curry tree, Urad dal, Lemon, Tamarind",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,poori,South Indian,"Salt, Wheat Flour, Atta flour, Vegetable Oil",Vegetarian,Wheat
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,butter dosa,South Indian,"Puffed rice,parboiled rice,Butter,Maida,Fenugreek seeds",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,paneer dosa,South Indian,"Paneer,dosa batter,Garam masala powder,tomato,garlic,turmeric,green chilli",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,sambar rice,South Indian,"Chana dal,Urad dal,Toor Dal, Beans, Coconut, rice",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,veg biryani,South Indian,"Rice, vegitables,onions, ginger, garlic, green chilies, cilantro, mint and curry leaves.",Vegetarian,
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,spring rolls,Chinese,"flour, egg, salt, water, milk, oil , cabbage, spring onions, shredded carrot, garlic, soya sauce, celery",Both,Eggs
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,veg momos,Chinese,"Flour, Salt, Oil, Water, Carrot, Cabbage, Garlic, Soya sauce, Vinegar, Black pepper",Vegetarian,Soy
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,fried rice,Chinese,"oil, ginger-garlic paste, spring onion, carrot, cabbage, capsicum, salt, soy sauce, vinegar, rice",Vegetarian,Soy
vXDwl8h7,Hyderabad,Male,26-35,76-90,Occasional,750-1000,Less than 20 min,Vegetarian,Stressed,chilli paneer,Chinese,"Cottage Cheese, Salt, Egg, Corn flour, Ginger-garlic paste, Water , Oil , Onions , Green chillies , Soya sauce, Vinegar, Capsicum, spring onion",Vegetarian,Eggs
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Happy,chicken biryani,South Indian,"Spice, Vegetable, Meat, Yoghurt, Dried Fruit, Garlic, Mint, Rice, Egg, Mint leaf",Non-Vegetarian,Eggs
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Happy,mughlai biryani,South Indian,"saffron, nutmeg, cardamom, cumin, cinnamon, flavored rice, browned meat, fried onions, sultanas, dry fruits",Non-Vegetarian,cardamom
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Happy,pepper chicken,South Indian,"Chicken, Pepper Black, Oil, Curry Leaves, Onion, Red Chilli Powder, Garam Masala, Tumeric, Fennel Seed, Pepper. Green Chilli",Non-Vegetarian,
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Happy,chilli chicken,Chinese,"boneless Chicken (diced), Egg (slightly beaten), cornflour, garlic Paste, ginger Paste, salt , oil (to deep fry), onions, green Chillies, soy sauce (adjust according to strength), vinegar, green Chillies",Non-Vegetarian,Eggs
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Happy,chicken manchurian,Chinese,"chicken mince, Eggs (slightly beaten), refined flour, garlic paste, ginger paste, Oil (for deep frying), oil, garlic, onions, capsicum, corn flour (blended), water, vinegar, salt, soya sauce, tomato puree, celery, water",Non-Vegetarian,Eggs
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Happy,manchow soup,Chinese,"Water, Ginger, Garlic, Green chilies , Coriander leaves - finely chopped, French beans, Carrots, Cabbage , Capsicum , Mushrooms , Spring onions, Pepper, Soya sauce, Cornflour - mixed with, Water, Spring onion, oil & salt",Both,Soy
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Happy,hot and sour soup,Chinese,"carrot, cabbage, black mushrooms, button mushrooms, bamboo shoots, bean sprouts, fresh beans, chicken, prawns, soya sauce, chili powder, white pepper, corn flour, Egg, coriander, chili oil, stock, vinegar, salt",Vegetarian,Eggs
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Happy,chicken lollipop,Chinese,"Chicken wings (cut off the bone and collect all the flesh at one end), Egg (slightly beaten), cornstarch/cornflour, garlic Paste, ginger Paste, salt, Oil (for deep-frying)",Non-Vegetarian,Eggs
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Happy,mojito,Beverages & Desserts,"mint leaves, simple syrup, fresh lime juice, crushed ice, club soda, lime wedges",Vegetarian,
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Hungry,chicken biryani,South Indian,"Spice, Vegetable, Meat, Yoghurt, Dried Fruit, Garlic, Mint, Rice, Egg, Mint leaf",Non-Vegetarian,Eggs
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Hungry,mughlai biryani,South Indian,"saffron, nutmeg, cardamom, cumin, cinnamon, flavored rice, browned meat, fried onions, sultanas, dry fruits",Non-Vegetarian,cardamom
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Hungry,pepper chicken,South Indian,"Chicken, Pepper Black, Oil, Curry Leaves, Onion, Red Chilli Powder, Garam Masala, Tumeric, Fennel Seed, Pepper. Green Chilli",Non-Vegetarian,
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Hungry,paneer dosa,South Indian,"Paneer,dosa batter,Garam masala powder,tomato,garlic,turmeric,green chilli",Vegetarian,
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Hungry,chilli chicken,Chinese,"boneless Chicken (diced), Egg (slightly beaten), cornflour, garlic Paste, ginger Paste, salt , oil (to deep fry), onions, green Chillies, soy sauce (adjust according to strength), vinegar, green Chillies",Non-Vegetarian,Eggs
PtDwJM7O,Hyderabad,Female,26-35,46-60,Every week,250-500,20-30 min,Non-Vegetarian,Hungry,chicken manchurian,Chinese,"chicken mince, Eggs (slightly beaten), refined flour, garlic paste, ginger paste, Oil (for deep frying), oil, garlic, onions, capsicum, corn flour (blended), water, vinegar, salt, soya sauce, tomato puree, celery, water",Non-Vegetarian,Eggs
QsDwsaiu,Hyderabad,Female,26-35,46-60,Once in a month,250-500,20-30 min,Non-Vegetarian,Happy,chicken biryani,South Indian,"Spice, Vegetable, Meat, Yoghurt, Dried Fruit, Garlic, Mint, Rice, Egg, Mint leaf",Non-Vegetarian,Eggs
QsDwsaiu,Hyderabad,Female,26-35,46-60,Once in a month,250-500,20-30 min,Non-Vegetarian,Happy,hyderabadi haleem,South Indian,"Ghee, Goat meat, Dried Fruit, Pounded wheat, Saffron, Lentils",Non-Vegetarian,Wheat
QsDwsaiu,Hyderabad,Female,26-35,46-60,Once in a month,250-500,20-30 min,Non-Vegetarian,Happy,chicken pizza,Continental/Italian,"skinless chicken breasts ,pizza crust,sweet italian sausage,canned black beans",Non-Vegetarian,
QsDwsaiu,Hyderabad,Female,26-35,46-60,Once in a month,250-500,20-30 min,Non-Vegetarian,Hungry,chicken biryani,South Indian,"Spice, Vegetable, Meat, Yoghurt, Dried Fruit, Garlic, Mint, Rice, Egg, Mint leaf",Non-Vegetarian,Eggs
QsDwsaiu,Hyderabad,Female,26-35,46-60,Once in a month,250-500,20-30 min,Non-Vegetarian,Hungry,hyderabadi haleem,South Indian,"Ghee, Goat meat, Dried Fruit, Pounded wheat, Saffron, Lentils",Non-Vegetarian,Wheat
QsDwsaiu,Hyderabad,Female,26-35,46-60,Once in a month,250-500,20-30 min,Non-Vegetarian,Hungry,chicken shwarma,Continental/Italian,"Chicken,tomato, olive oil,spice,garlic",Non-Vegetarian,
QsDwsaiu,Hyderabad,Female,26-35,46-60,Once in a month,250-500,20-30 min,Non-Vegetarian,Hungry,chicken pizza,Continental/Italian,"skinless chicken breasts ,pizza crust,sweet italian sausage,canned black beans",Non-Vegetarian,
QsDwsaiu,Hyderabad,Female,26-35,46-60,Once in a month,250-500,20-30 min,Non-Vegetarian,Workaholic,chicken biryani,South Indian,"Spice, Vegetable, Meat, Yoghurt, Dried Fruit, Garlic, Mint, Rice, Egg, Mint leaf",Non-Vegetarian,Eggs
QsDwsaiu,Hyderabad,Female,26-35,46-60,Once in a month,250-500,20-30 min,Non-Vegetarian,Workaholic,hyderabadi haleem,South Indian,"Ghee, Goat meat, Dried Fruit, Pounded wheat, Saffron, Lentils",Non-Vegetarian,Wheat
QsDwsaiu,Hyderabad,Female,26-35,46-60,Once in a month,250-500,20-30 min,Non-Vegetarian,Workaholic,chicken shwarma,Continental/Italian,"Chicken,tomato, olive oil,spice,garlic",Non-Vegetarian,
QsDwsaiu,Hyderabad,Female,26-35,46-60,Once in a month,250-500,20-30 min,Non-Vegetarian,Workaholic,chicken pizza,Continental/Italian,"skinless chicken breasts ,pizza crust,sweet italian sausage,canned black beans",Non-Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,masala dosa,South Indian,"Potato, Parbolied rice, Urad dal",Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,idly,South Indian,"Rice, Urad dal",Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,upma,South Indian,Semolina,Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,butter dosa,South Indian,"Puffed rice,parboiled rice,Butter,Maida,Fenugreek seeds",Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,uttapam,South Indian,"Rice, Onion, Rice Flour, Tomato, Urad dal, White lentils",Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,vegetarian pizza,Continental/Italian,"Readymade pizza bases, Can or jar of tomato sauce, enough to cover the pizza (about 2 cups), Dried oregano, Cheddar cheese, grated, Onion, Green pepper, Red pepper, Mushrooms",Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,garlic bread,Continental/Italian,"Mozzarella cheese,italian bread,garlic powder",Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,nachos,Continental/Italian,"Pinto beans,sour cream,corn,nachos",Both,corn
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,veg sandwich,Continental/Italian,"pav bhaji masala,tomato,butter,green chilies, turmeric,brown bread",Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,fried rice,Chinese,"oil, ginger-garlic paste, spring onion, carrot, cabbage, capsicum, salt, soy sauce, vinegar, rice",Vegetarian,Soy
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,dum aloo,North Indian,Potatoes cooked in curry,Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,garlic naan,North Indian,Tandoor-baked soft flatbread made with refined wheat flour and garlic,Vegetarian,Wheat
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Binge Watching,gulab jamun,Beverages & Desserts,"Milk powder, plain flour, baking powder, ghee, milk, sugar, water, rose water",Vegetarian,Milk
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Workaholic,vegetarian pizza,Continental/Italian,"Readymade pizza bases, Can or jar of tomato sauce, enough to cover the pizza (about 2 cups), Dried oregano, Cheddar cheese, grated, Onion, Green pepper, Red pepper, Mushrooms",Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Workaholic,baked pasta,Continental/Italian,"Any short pasta, Olive oil, Onion, Garlic (minced), Mixed bell peppers, Mushrooms, Spinach , Eggplant, Mixed olives, Green chillies, Tomato puree, Mixed cheese, Cream, Breadcrumbs, Butter (cut into cubes)",Vegetarian,Eggs
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Workaholic,garlic bread,Continental/Italian,"Mozzarella cheese,italian bread,garlic powder",Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Workaholic,veg sandwich,Continental/Italian,"pav bhaji masala,tomato,butter,green chilies, turmeric,brown bread",Vegetarian,
UeDEdx4X,Mumbai,Female,26-35,46-60,Alternate Week,500-750,More than 40 min,Vegetarian,Workaholic,masala chai,Beverages & Desserts,"water, ginger, cardamom seeds, tea leaves, milk, sugar",Vegetarian,Milk
GbDYWjwV,Bangalore,Female,36-45,61-75,Alternate Week,1000 Above,20-30 min,Vegetarian,Happy,manchow soup,Chinese,"Water, Ginger, Garlic, Green chilies , Coriander leaves - finely chopped, French beans, Carrots, Cabbage , Capsicum , Mushrooms , Spring onions, Pepper, Soya sauce, Cornflour - mixed with, Water, Spring onion, oil & salt",Both,Soy
